"","Program/Agency Name","Project Name","Sub-Project Name","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","Total 10 Year","Ward Number","Ward","Category"
"3082","Parks, Forestry & Recreation","Arena","FMP-Ward 21 Artificial Ice Rink (2)",0,0,350,6100,200,0,0,0,0,0,6650,"21","Scarborough Centre","Growth Related"
"3083","Parks, Forestry & Recreation","Arena","FMP-Arena Repurpose (3) Design",0,0,0,0,0,0,0,0,40,470,510,"CW","City Wide","Growth Related"
"3084","Parks, Forestry & Recreation","Playgrounds/Waterplay","FMP-Ward 2 Splash Pad (5)",0,930,0,0,0,0,0,0,0,0,930,"2","Etobicoke Centre","Growth Related"
"3085","Parks, Forestry & Recreation","Playgrounds/Waterplay","FMP-Ward 11 Wading Pool Convert to Splash Pad (1)",0,0,604,15,0,0,0,0,0,0,619,"11","University-Rosedale","Service Improvement and Enhancement"
"3086","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Cricket Pitch (4)",0,0,0,40,660,0,0,0,0,0,700,"CW","City Wide","Growth Related"
"3087","Parks, Forestry & Recreation","Parking Lots and Tennis Courts","FMP-Tennis Court Complex with Lights (2) East",0,70,990,0,0,0,0,0,0,0,1060,"CW","City Wide","Growth Related"
"3088","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Skateboard Park (3) South District",0,0,75,1175,50,0,0,0,0,0,1300,"CW","City Wide","Growth Related"
"3089","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Skate Spots Program",0,0,0,0,0,0,0,605,1060,1110,2775,"CW","City Wide","Growth Related"
"3090","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Mini-Soccer Field (4)",0,0,0,5,90,0,0,0,0,0,95,"CW","City Wide","Growth Related"
"3091","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Fieldhouse (2) Design & Construction",0,0,0,200,2050,250,0,0,0,0,2500,"CW","City Wide","Growth Related"
"3092","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Multi-Use Field-Artificial Turf (4)",0,0,0,0,0,170,2655,0,0,0,2825,"CW","City Wide","Growth Related"
"3093","Parks, Forestry & Recreation","Community Centres","FMP-Falstaff CC Redevelopment (6) Design",0,0,0,0,0,500,1500,1500,1000,500,5000,"5","York South-Weston","Growth Related"
"3094","Parks, Forestry & Recreation","Community Centres","FMP-Downtown CRC (1) Construction",0,0,0,14000,24000,18950,6184,0,0,0,63134,"11","University-Rosedale","Growth Related"
"3095","Parks, Forestry & Recreation","Community Centres","FMP-SW Scarborough CRC (2) Design",0,0,0,0,0,500,1000,750,500,250,3000,"20","Scarborough Southwest","Growth Related"
"3096","Economic Development and Culture","Major Maintenance","Franklin Carmichael - FY",0,200,0,0,0,0,0,600,0,300,1100,"1","Etobicoke North","State of Good Repair"
"3097","Economic Development and Culture","Major Maintenance","Legislated Mech. & Elect. - FY",0,150,100,100,0,200,0,200,200,200,1150,"CW","City Wide","Legislated"
"3098","Economic Development and Culture","Service Enhancement","Fort York Adding New Buildings -FY",0,0,0,0,0,0,0,0,0,650,650,"10","Spadina-Fort York","Service Improvement and Enhancement"
"3099","Parks, Forestry & Recreation","Park Development","FMP-Dogs Off Leash Area (5)",0,0,0,0,0,0,0,45,670,0,715,"CW","City Wide","Growth Related"
"3100","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Dempsey Bros Store-FY",0,0,0,100,200,200,300,200,0,400,1400,"18","Willowdale","State of Good Repair"
"3101","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Zion Church - FY",0,0,0,0,0,250,0,0,250,400,900,"17","Don Valley North","State of Good Repair"
"3102","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Mackenzie House Restoration - FY",0,0,0,0,0,0,0,0,0,400,400,"13","Toronto Centre","State of Good Repair"
"3103","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Colborne Lodge Gallery-FY",0,200,300,0,0,0,0,600,0,0,1100,"4","Parkdale-High Park","State of Good Repair"
"3104","Economic Development and Culture","2024-2032 BIA Equal Share Funding","2024-2032 BIA Equal Share Funding",0,379,1401,1507,1649,1649,1649,1649,1649,1649,13181,"CW","City Wide","State of Good Repair"
"3105","Toronto Paramedic Services","Ambulance Post Program","Ambulance Post #3 - 844 Don Mills Rd",0,100,500,1350,1000,0,0,0,0,0,2950,"16","Don Valley East","Growth Related"
"3106","Toronto Paramedic Services","Ambulance Post Program","Ambulance Post #4",0,100,500,1350,0,0,0,0,0,0,1950,"CW","City Wide","Growth Related"
"3107","Economic Development and Culture","Refurbishment and Rehabilitation","Montgomery's Inn Interiors - FY",0,0,200,0,0,200,0,0,200,0,600,"2","Etobicoke Centre","State of Good Repair"
"3108","Toronto Paramedic Services","Additional Ambulances","Additional Ambulances  - Future Years",0,2800,2800,2800,0,0,0,0,0,0,8400,"CW","City Wide","Growth Related"
"3109","Housing Secretariat","Rental Development","Strategic Acquisitions",0,12500,12500,12500,12500,12500,12500,12500,0,0,87500,"CW","City Wide","Growth Related"
"3110","Children's Services","Lawrence Heights Child Care Centre","Lawrence Heights Child Care Centre Add'L Funding",0,0,0,0,1040,4000,0,0,0,0,5040,"8","Eglinton-Lawrence","Growth Related"
"3111","Housing Secretariat","Housing Now","Housing Now Capital Cost",0,0,127000,10000,0,0,0,0,0,0,137000,"CW","City Wide","Service Improvement and Enhancement"
"3112","Housing Secretariat","Rapid Housing Initiative","Rapid Housing 1",0,0,0,0,0,0,0,0,0,0,0,"CW","City Wide","Growth Related"
"3113","Housing Secretariat","Housing Now","Housing Now Phase 1 Due Diligence",322,0,0,0,0,0,0,0,0,0,322,"CW","City Wide","Growth Related"
"3114","Housing Secretariat","Housing Now","Housing Now Phase 1 Complete Communities Site Valu",3426,2662,293,0,0,0,0,0,0,0,6381,"CW","City Wide","Growth Related"
"3115","Fire Services","Toronto Radio Infrastructure Project (TRIP)","Toronto Radio Infrastructure Project (TRIP)",0,3010,327,0,0,0,0,0,0,0,3337,"CW","City Wide","State of Good Repair"
"3116","Fire Services","Fire Prevention Technology Integration","2023 Reduction Target -Fire Prevention Technology",-1000,0,0,0,0,0,0,0,0,0,-1000,"CW","City Wide","Service Improvement and Enhancement"
"3117","Seniors Services and Long-Term Care","4610 Finch Ave East","4610 Finch Ave East",0,13726,21113,65974,33270,0,0,0,0,0,134083,"23","Scarborough-North","Growth Related"
"3118","Shelter, Support & Housing Administration","George Street Revitalization (GSR)","GSR - Transition",1893,1600,2254,0,0,0,0,0,0,0,5747,"CW","City Wide","Service Improvement and Enhancement"
"3119","Shelter, Support & Housing Administration","HVAC Upgrades (Sites # 14)","HVAC Upgrades (Sites # 14)",270,1305,4424,0,0,0,0,0,0,0,5999,"CW","City Wide","Health and Safety"
"3120","Shelter, Support & Housing Administration","George Street Revitalization (GSR)","2023 Reduction Target - GSR- Transition",-3600,0,0,0,0,0,0,0,0,0,-3600,"CW","City Wide","Service Improvement and Enhancement"
"3121","Shelter, Support & Housing Administration","625 Church","2023 Reduction Target",-1000,0,0,0,0,0,0,0,0,0,-1000,"CW","City Wide","Service Improvement and Enhancement"
"3122","Children's Services","Mount Dennis Child Care Centre","Mount Dennis Child Care Centre",3500,0,0,0,0,0,0,0,0,0,3500,"5","York South-Weston","Service Improvement and Enhancement"
"3123","Children's Services","Anishnawbe Miziwe Biik Child Care Centre","Anishnawbe Miziwe Biik Child Care Centre",0,0,1809,0,0,0,0,0,0,0,1809,"13","Toronto Centre","Service Improvement and Enhancement"
"3124","Children's Services","Bridletown Community Centre (Child Care Centre 6)","Bridletown Community Centre (Child Care Centre 6)",0,350,700,1400,1450,0,0,0,0,0,3900,"22","Scarborough-Agincourt","Service Improvement and Enhancement"
"3125","Children's Services","Wallace Emerson Child Care Centre","Wallace Emerson Child Care Centre",0,0,510,0,0,0,0,0,0,0,510,"9","Davenport","Service Improvement and Enhancement"
"3126","Children's Services","Gilder/Gilder Child Care Centre","Gilder/Gilder Satellite Child Care Centre",0,881,0,0,0,0,0,0,0,0,881,"21","Scarborough Centre","Service Improvement and Enhancement"
"3127","Children's Services","TELCCS - State Of Good Repair","TELCCS - SOGR 2023",496,0,0,0,0,0,0,0,0,0,496,"CW","City Wide","State of Good Repair"
"3128","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Sports Field Improvements",0,1080,0,0,0,0,0,0,0,0,1080,"CW","City Wide","Service Improvement and Enhancement"
"3129","Parks, Forestry & Recreation","Playgrounds/Waterplay","FMP-Ward 16 Splash Pad (3)",0,48,736,16,0,0,0,0,0,0,800,"16","Don Valley East","Growth Related"
"3130","Toronto Paramedic Services","MF#5 (FACILITY) - 18 Dyas Road","MF#5 (FACILITY) - 18 Dyas Road (Phase 1)",500,0,0,0,0,0,0,0,0,0,500,"16","Don Valley East","Growth Related"
"3131","Toronto Paramedic Services","Multi-Function Station #2","Multi-Function Station #2 - DESIGN & CONSTRUCTION",0,11700,6595,0,0,0,0,0,0,0,18295,"21","Scarborough Centre","Growth Related"
"3132","Toronto Paramedic Services","Multi-Function Station #2","MF#02 - COVID Surcharge and NetZero",4500,6000,4500,6000,0,0,0,0,0,0,21000,"21","Scarborough Centre","Growth Related"
"3133","Toronto Paramedic Services","Radio Infrastructure for Portable Coverage","Dispatch Console Replacement - 2022-2024",150,0,0,0,0,0,0,0,0,0,150,"CW","City Wide","State of Good Repair"
"3134","Toronto Paramedic Services","Future Strategic Staging Locations (F-SSL)","Future Strategic Staging Locations (F-SSL)",100,600,0,0,0,0,0,0,0,0,700,"CW","City Wide","Service Improvement and Enhancement"
"3135","Fire Services","Training Simulators and Facilities Rehabilitation","Training Simulators and Fac Rehab - 2023",100,0,0,0,0,0,0,0,0,0,100,"CW","City Wide","State of Good Repair"
"3136","Fire Services","Mobile Driver Simulator","Mobile Driver Simulator",185,0,0,0,0,0,0,0,0,0,185,"CW","City Wide","Health and Safety"
"3137","Fire Services","The purchase of gas metres for fire investigators","Lifecycle Replacement of Gas Metres-2023",100,0,0,0,0,0,0,0,0,0,100,"CW","City Wide","Health and Safety"
"3138","Parks, Forestry & Recreation","Playgrounds/Waterplay","FMP-Maple Leaf Pk New Splash Pad",252,0,0,0,0,0,0,0,0,0,252,"5","York South-Weston","Service Improvement and Enhancement"
"3139","Parks, Forestry & Recreation","Information Technology","IT-PFR Public Wi-Fi Initiative",250,250,0,0,0,0,0,0,0,0,500,"CW","City Wide","Service Improvement and Enhancement"
"3140","Parks, Forestry & Recreation","Land Acquisition","Acquisition of Land in Vicinity of 1500 St. Clair",0,600,0,0,0,0,0,0,0,0,600,"9","Davenport","Growth Related"
"3141","Parks, Forestry & Recreation","Pool","CAMP (SGR) Pools",1439,0,0,0,0,0,0,0,0,0,1439,"CW","City Wide","State of Good Repair"
"3142","Parks, Forestry & Recreation","Pool","CAMP (SGR) Pools",1983,0,0,0,0,0,0,0,0,0,1983,"CW","City Wide","State of Good Repair"
"3143","Parks, Forestry & Recreation","Pool","FMP-Davisville Community Pool - Construction",0,0,3193,0,0,0,0,0,0,0,3193,"12","Toronto-St. Pauls","Growth Related"
"3144","Parks, Forestry & Recreation","Arena","FMP-Skating Trail (Centennial Park)",91,0,0,0,0,0,0,0,0,0,91,"2","Etobicoke Centre","Growth Related"
"3145","Parks, Forestry & Recreation","Community Centres","FMP John Innes CRC Redevelopment (3)-Construction",0,0,0,14000,28000,2500,0,0,0,0,44500,"13","Toronto Centre","Service Improvement and Enhancement"
"3146","Parks, Forestry & Recreation","Community Centres","FMP-Wallace Emerson (Galleria) Redevelopment",0,4350,0,0,0,0,0,0,0,0,4350,"9","Davenport","Growth Related"
"3147","Parks, Forestry & Recreation","Community Centres","FMP-Wallace Emerson (Galleria) Redevelopment",0,1020,0,0,0,0,0,0,0,0,1020,"9","Davenport","Growth Related"
"3148","Parks, Forestry & Recreation","Community Centres","FMP-Wallace Emerson (Galleria) Redevelopment",0,3480,0,0,0,0,0,0,0,0,3480,"9","Davenport","Growth Related"
"3149","Parks, Forestry & Recreation","Community Centres","FMP-North East Scarborough CC-Design",130,100,50,0,0,0,0,0,0,0,280,"25","Scarborough-Rouge Park","Growth Related"
"3150","Parks, Forestry & Recreation","Outdoor Recreation Centres","FMP-Skate Spots (2) Design & Construction",0,5,45,0,0,0,0,0,0,0,50,"CW","City Wide","Growth Related"
"3151","Parks, Forestry & Recreation","Park Development","Dieppe Park Improvements",250,0,0,0,0,0,0,0,0,0,250,"14","Toronto-Danforth","Service Improvement and Enhancement"
"3152","Parks, Forestry & Recreation","Park Development","Corktown Parks - Additional Funding S42",0,2000,0,0,0,0,0,0,0,0,2000,"13","Toronto Centre","Service Improvement and Enhancement"
"3153","Parks, Forestry & Recreation","Park Development","10 Ordnance Street Development - Design S42",0,0,35,25,0,0,0,0,0,0,60,"10","Spadina-Fort York","Service Improvement and Enhancement"
"3154","Parks, Forestry & Recreation","Park Development","51 Drewry Avenue and Inez Court - Park Development",0,350,0,3000,0,0,0,0,0,0,3350,"18","Willowdale","Growth Related"
"3155","Parks, Forestry & Recreation","Park Development","Eglinton Park Master Plan Implementation",0,35,300,0,0,0,0,0,0,0,335,"8","Eglinton-Lawrence","Service Improvement and Enhancement"
"3156","Parks, Forestry & Recreation","Park Development","Etobicoke City Centre Park Construction",0,1029,0,0,0,0,0,0,0,0,1029,"3","Etobicoke-Lakeshore","Growth Related"
"3157","Parks, Forestry & Recreation","Park Development","Edwards Gardens Improvements",0,1500,0,0,0,0,0,0,0,0,1500,"15","Don Valley West","Service Improvement and Enhancement"
"3158","Parks, Forestry & Recreation","Outdoor Recreation Centres","CAMP (SGR) ORC Facilities",0,3508,0,0,0,0,0,0,0,0,3508,"CW","City Wide","State of Good Repair"
"3159","Parks, Forestry & Recreation","FIFA","FIFA Training Site A Improvements",10061,1479,2792,0,0,0,0,0,0,0,14332,"2","Etobicoke Centre","Service Improvement and Enhancement"
"3160","Parks, Forestry & Recreation","Environmental Initiatives","Green Line - Construction",0,300,0,0,0,0,0,0,0,0,300,"CW","City Wide","Service Improvement and Enhancement"
"3161","Parks, Forestry & Recreation","Playgrounds/Waterplay","L'Amoreaux Kidstown Improvements S42",1000,3993,0,0,0,0,0,0,0,0,4993,"22","Scarborough-Agincourt","Service Improvement and Enhancement"
"3162","Parks, Forestry & Recreation","Arena","CAMP (SGR) Arenas",3874,0,0,0,0,0,0,0,0,0,3874,"CW","City Wide","State of Good Repair"
"3163","Parks, Forestry & Recreation","Information Technology","IT-Digital Infrastructure",79,0,0,0,0,0,0,0,0,0,79,"CW","City Wide","Service Improvement and Enhancement"
"3164","Parks, Forestry & Recreation","Information Technology","IT-PFR Digital Experience",0,1205,640,0,0,0,0,0,0,0,1845,"CW","City Wide","Service Improvement and Enhancement"
"3165","Parks, Forestry & Recreation","Special Facilities","High Pk Forestry School Building Phase 2 S37",250,0,0,0,0,0,0,0,0,0,250,"4","Parkdale-High Park","Service Improvement and Enhancement"
"3166","Parks, Forestry & Recreation","Special Facilities","CAMP (SGR) SF Building & Structures",0,4987,0,0,0,0,0,0,0,0,4987,"CW","City Wide","State of Good Repair"
"3167","Parks, Forestry & Recreation","Facility Components","Dundas Street Renaming Signage",0,180,0,0,0,0,0,0,0,0,180,"CW","City Wide","Service Improvement and Enhancement"
"3168","Parks, Forestry & Recreation","Trails & Pathways","Cornell Park Lighting",0,485,0,0,0,0,0,0,0,0,485,"24","Scarborough-Guildwood","Health and Safety"
"3169","Parks, Forestry & Recreation","Trails & Pathways","CAMP (SGR) Trails, Pathways & Bridges",-2621,-238,974,0,0,0,0,0,0,0,-1885,"CW","City Wide","State of Good Repair"
"3170","Parks, Forestry & Recreation","Outdoor Recreation Centres","Former Ward 3 Baseball Improvements S42(Glen Agar)",0,144,0,0,0,0,0,0,0,0,144,"2","Etobicoke Centre","Service Improvement and Enhancement"
"3171","Parks, Forestry & Recreation","Park Development","Facilities Master Plan Implementation Planning",360,360,0,0,0,0,0,0,0,0,720,"CW","City Wide","Growth Related"
"3172","Parks, Forestry & Recreation","Park Development","Leslie Grove Park Improvements (Hope Shelter)",0,80,0,0,0,0,0,0,0,0,80,"14","Toronto-Danforth","Service Improvement and Enhancement"
"3173","Parks, Forestry & Recreation","Park Development","Lawrence Heights Ph1a-Baycrest Additional Funds",0,537,0,0,0,0,0,0,0,0,537,"8","Eglinton-Lawrence","Service Improvement and Enhancement"
"3174","Parks, Forestry & Recreation","Community Centres","FMP-North East Scarborough CC-Design Addtl Funds",49,0,0,0,0,0,0,0,0,0,49,"25","Scarborough-Rouge Park","Growth Related"
"3175","Parks, Forestry & Recreation","Community Centres","CAMP (SGR) Community Centres",-5816,-8172,1162,0,0,0,0,0,0,0,-12826,"CW","City Wide","State of Good Repair"
"3176","Parks, Forestry & Recreation","Special Facilities","2018 Wind Storm Damages",5735,0,0,0,0,0,0,0,0,0,5735,"CW","City Wide","State of Good Repair"
"3177","Parks, Forestry & Recreation","Park Development","640 Lansdowne Avenue - Park Development",0,0,20,310,0,0,0,0,0,0,330,"9","Davenport","Growth Related"
"3178","Parks, Forestry & Recreation","Park Development","Miles Road Park Development",30,1,0,0,0,0,0,0,0,0,31,"3","Etobicoke-Lakeshore","Growth Related"
"3179","Parks, Forestry & Recreation","Park Development","Bisset Park OLA S37",255,0,0,0,0,0,0,0,0,0,255,"3","Etobicoke-Lakeshore","Service Improvement and Enhancement"
"3180","Parks, Forestry & Recreation","Park Development","Redpath Park Redevelopment S42",0,1100,0,0,0,0,0,0,0,0,1100,"15","Don Valley West","Service Improvement and Enhancement"
"3181","Parks, Forestry & Recreation","Playgrounds/Waterplay","FMP-Ward 24 Splash Pad #2 (Scarborough Village)",0,100,0,0,0,0,0,0,0,0,100,"24","Scarborough-Guildwood","Growth Related"
"3182","Parks, Forestry & Recreation","Arena","FMP-Skating Trail (Centennial Park)",0,105,0,0,0,0,0,0,0,0,105,"2","Etobicoke Centre","Growth Related"
"3183","Parks, Forestry & Recreation","Park Development","Lawrence Heights Ph1f-Local Neighbourhood Pk",0,1269,0,0,0,0,0,0,0,0,1269,"8","Eglinton-Lawrence","Service Improvement and Enhancement"
"3184","Parks, Forestry & Recreation","Park Development","Wallace Emerson Park Redevelopment- Phase 1",0,6324,0,0,0,0,0,0,0,0,6324,"9","Davenport","Growth Related"
"3185","Parks, Forestry & Recreation","Park Development","Huron Washington Park Improvements Uof T",0,256,0,0,0,0,0,0,0,0,256,"11","University-Rosedale","Service Improvement and Enhancement"
"3186","Parks, Forestry & Recreation","Park Development","Dunkip Park Development",0,155,0,0,0,0,0,0,0,0,155,"3","Etobicoke-Lakeshore","Growth Related"
"3187","Parks, Forestry & Recreation","Park Development","Dunkip Park Development",0,305,0,0,0,0,0,0,0,0,305,"3","Etobicoke-Lakeshore","Growth Related"
"3188","Parks, Forestry & Recreation","Park Development","David Crombie Park Revitalization & Area Parks",0,250,5627,0,0,0,0,0,0,0,5877,"10","Spadina-Fort York","Service Improvement and Enhancement"
"3189","Economic Development and Culture","Major Maintenance","Assembly Hall Mechanical",400,0,0,0,0,0,0,0,0,0,400,"3","Etobicoke-Lakeshore","State of Good Repair"
"3190","Economic Development and Culture","Major Maintenance","Neilson Park Creative Centre Signs",150,0,0,0,0,0,0,0,0,0,150,"2","Etobicoke Centre","State of Good Repair"
"3191","Economic Development and Culture","Eglinton Crosstown BIA Streetscape Improvements","Eglinton Crosstown BIA Streetscape Improvements",90,260,260,170,0,0,0,0,0,0,780,"CW","City Wide","State of Good Repair"
"3192","Parks, Forestry & Recreation","Arena","FMP Don Mills Community Recreation Facility Design",0,0,0,946,700,650,600,400,400,0,3696,"16","Don Valley East","Service Improvement and Enhancement"
"3193","Parks, Forestry & Recreation","Park Development","318 Queens Quay W/Rees Pk Development",0,0,1800,200,0,0,0,0,0,0,2000,"10","Spadina-Fort York","Service Improvement and Enhancement"
"3194","Parks, Forestry & Recreation","Pool","Blantyre ODP Improvements S37 S42",0,1250,0,0,0,0,0,0,0,0,1250,"20","Scarborough Southwest","Service Improvement and Enhancement"
"3195","Parks, Forestry & Recreation","Pool","Blantyre ODP Improvements S37 S42",0,667,0,0,0,0,0,0,0,0,667,"20","Scarborough Southwest","Service Improvement and Enhancement"
"3196","Parks, Forestry & Recreation","Parking Lots and Tennis Courts","2023 Reduction Target CAMP (SGR) PLs &Tennis Crts",-310,0,0,0,0,0,0,0,0,0,-310,"CW","City Wide","State of Good Repair"
"3197","Economic Development and Culture","Restoration/Preservation of Heritage Elements","Outdoor Public Art - Elevated Wetlands-2",75,0,0,0,0,0,0,0,0,0,75,"16","Don Valley East","State of Good Repair"
